A Coruña,Alvedro Airport,LCG
Aalborg,Aalborg Airport,AAL
Aarhus,Aarhus Airport,AAR
Abakan,Abakan International Airport,ABA
Aberdeen,Aberdeen Airport,ABZ
Abidjan,Port Bouet Airport,ABJ
Abu Dhabi,Abu Dhabi International Airport,AUH
Abuja,Nnamdi Azikiwe International Airport,ABV
Acapulco,General Juan N. Alvarez International Airport,ACA
Accra,Kotoka International Airport,ACC
Adana,Şakirpaşa Airport,ADA
Addis Ababa,Addis Ababa Bole International Airport,ADD
Addu City,Gan International Airport,GAN
Adelaide,Adelaide Airport,ADL
Aden,Aden International Airport,ADE
Adrar,Touat-Cheikh Sidi Mohamed Belkebir Airport,AZR
Agadir,Al Massira Airport,AGA
Aguadilla,Rafael Hernández Airport,BQN
Aguascalientes,Lic. Jesús Terán Peredo International Airport,AGU
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD
Ajaccio,Campo dell'Oro Airport,AJA
Akita,Akita Airport,AXT
Akron,Akron Fulton International Airport,AKC
Akron,Akron–Canton Airport,CAK
Aktau,Aktau Airport,SCO
Akureyri,Akureyri Airport,AEY
Al Ain,Al Ain International Airport,AAN
Al Najaf,Al Najaf International Airport,NJF
Albany,Albany International Airport,ALB
Albuquerque,Albuquerque International Sunport,ABQ
Alderney,Alderney Airport,ACI
Aleppo,Aleppo International Airport,ALP
Alexandria,Borg El Arab Airport,HBE
Alexandria,Alexandria International Airport,ALY
Alghero,Fertilia Airport,AHO
Algiers,Houari Boumedienne Airport,ALG
Alicante,Alicante Airport,ALC
Almaty,Almaty International Airport,ALA
Almería,Almería International Airport,LEI
Alofi,Niue International Airport,IUE
Ambon,Pattimura Airport,AMQ
Ambrolauri,Ambrolauri Airport,UGAM
Amman,Amman Civil Airport,ADJ
Amman,Queen Alia International Airport,AMM
Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ
Amsterdam,Amsterdam Airport Schiphol,AMS
Anadyr (town),Ugolny Airport,DYR
Anapa,Anapa Airport,AAQ
Anchorage,Ted Stevens Anchorage International Airport,ANC
Ancona,Ancona Airport,AOI
Angeles,Clark International Airport,CRK
Ankara,Esenboğa International Airport,ESB
Annaba,Rabah Bitat Airport,AAE
Antalya,Antalya Airport,AYT
Antananarivo,Ivato International Airport,TNR
Antigua,VC Bird International Airport,ANU
Antofagasta,Cerro Moreno International Airport,ANF
Antsiranana,Arrachart Airport,DIE
Antwerp,Antwerp International Airport,ANR
Aomori,Aomori Airport,AOJ
Apia,Faleolo International Airport,APW
Appleton,Appleton International Airport,ATW
Aqaba,King Hussein International Airport,AQJ
Aracaju,Santa Maria Airport,AJU
Arbil,Erbil International Airport,EBL
Arequipa,Rodríguez Ballón International Airport,AQP
Arkhangelsk,Talagi Airport,ARH
Armenia,El Edén International Airport,AXM
Asaba,Asaba International Airport,ABB
Ashgabat,Ashgabat Airport,ASB
Asmara,Asmara International Airport,ASM
Astana,Astana International Airport,TSE
Astrakhan,Narimanovo Airport,ASF
Asturias,Asturias Airport,OVD
Asunción,Silvio Pettirossi International Airport,ASU
Aswan,Aswan International Airport,ASW
Asyut,Assiut Airport,ATZ
Athens,Athens International Airport,ATH
Atlanta,Hartsfield-Jackson Atlanta International Airport,ATL
Atlantic City,Atlantic City International Airport,ACY
Atyrau,Atyrau Airport,GUW
Auckland,Auckland Airport,AKL
Austin,Austin-Bergstrom International Airport,AUS
Baden-Baden,Karlsruhe/Baden-Baden Airport,FKB
Baghdad,Baghdad International Airport,BGW
Bahawalpur,Bahawalpur Airport,BHV
Baku,Heydar Aliyev International Airport,GYD
Balikpapan,Sultan Aji Muhammad Sulaiman Airport,BPN
Baltimore,Baltimore-Washington International Thurgood Marshall Airport,BWI
Bamako,Senou International Airport,BKO
Bandar Abbas,Bandar Abbas International Airport,BND
Bandar Seri Begawan,Brunei International Airport,BWN
Bandung,Husein Sastranegara International Airport,BDO
Bangalore,Kempegowda International Airport,BLR
Bangkok,Don Mueang International Airport,DMK
Bangkok,Suvarnabhumi Airport,BKK
Bangor,Bangor International Airport,BGR
Bangui,M'Poko International Airport,BGF
Banja Luka,Banja Luka International Airport,BNX
Banjarmasin,Syamsudin Noor Airport,BDJ
Banjul,Banjul International Airport,BJL
Bannu,Bannu Airport,BNP
Barcelona,Barcelona Airport,BCN
Bari,Palese Airport,BRI
Barnaul,Barnaul Airport,BAX
Barranquilla,Ernesto Cortissoz International Airport,BAQ
Basel-Mulhouse-Freiburg,EuroAirport Basel–Mulhouse–Freiburg,BSL
Basra,Basra International Airport,BSR
Bastia,Poretta Airport,BIA
Batna City,Batna Airport,BLJ
Batumi,Batumi International Airport,BUS
Beauvais,Beauvais-Tillé Airport,BVA
Beihai,Beihai Fucheng Airport,BHY
Beijing,Beijing Capital International Airport,PEK
Beijing,Beijing Nanyuan Airport,NAY
Beira,Beira Airport,BEW
Beirut,Beirut Rafic Hariri International Airport,BEY
Beja,Beja Airport,BYJ
Bejaia,Soummam Airport,BJA
Belfast,Belfast International Airport,BFS
Belfast,George Best Belfast City Airport,BHD
Belgorod,Belgorod International Airport,EGO
Belgrade,Belgrade Nikola Tesla Airport,BEG
Belize City,Philip S. W. Goldson International Airport,BZE
Belo Horizonte,Tancredo Neves International Airport,CNF
Belém,Val de Cães International Airport,BEL
Benghazi,Benina International Airport,BEN
Bergamo,Orio al Serio Airport,BGY
Bergen,Bergen Airport,BGO
Bergerac,Bergerac-Roumanière Airport,EGC
Berlin,Berlin Brandenburg Airport (Future),BER
Berlin,Berlin Schönefeld Airport,SXF
Berlin,Berlin Tegel Airport,TXL
Bern,Bern-Belp Airport,BRN
Bhopal,Raja Bhoj International Airport,BHO
Bhubaneswar,Biju Patnaik International Airport,BBI
Biarritz,Biarritz Airport,BIQ
Bicol Region,Bicol International Airport,none
Billund,Billund Airport,BLL
Birjand,Birjand International Airport,XBJ
Birmingham,Birmingham International Airport,BHX
Birmingham,Birmingham-Shuttlesworth International Airport,BHM
Bishkek,Manas Airport,FRU
Bissau,Osvaldo Vieira International Airport,OXB
Blagoveshchensk,Ignatyevo Airport,BQS
Blantyre,Chileka International Airport,BLZ
Bluefields,Bluefields Airport,BEF
Boa Vista,Aristides Pereira International Airport,BVC
Boa Vista,Boa Vista International Airport,BVB
Bobo-Dioulasso,Bobo Dioulasso Airport,BOY
Bocas Town,"Bocas del Toro ""Isla Colón"" International Airport",BOC
Bodrum,Milas-Bodrum Airport,BJV
Bodø,Bodø Airport,BOO
Bogotá,El Dorado International Airport,BOG
Bologna,Bologna Airport,BLQ
Bordeaux,Mérignac Airport,BOD
Bosaso,Bosaso Airport,BSA
Boston,Logan International Airport,BOS
Bournemouth,Bournemouth Airport,BOH
Brades,John A. Osborne Airport,MNI
Brasília,Brasília International Airport,BSB
Bratislava,M. R. Štefánik Airport,BTS
Bratsk,Bratsk Airport,BTK
Brazzaville,Maya-Maya Airport,BZV
Bremen,Bremen Airport,BRE
Brescia,Brescia Airport,VBS
Brest,Brest Bretagne Airport,BES
Brindisi,Brindisi Airport,BDS
Brisbane,Brisbane Airport,BNE
Bristol,Bristol Airport,BRS
Brno,Brno-Tuřany Airport,BRQ
Brussels,Brussels Airport,BRU
Brussels,Brussels South Charleroi Airport,CRL
Bryansk,Bryansk International Airport,BZK
Bubaque,Bubaque Airport,BQE
Bucaramanga,Palonegro International Airport,BGA
Bucharest,Henri Coanda International Airport,OTP
Budapest,Budapest Ferenc Liszt International Airport,BUD
Buenos Aires,Aeroparque Jorge Newbery,AEP
Buenos Aires,Ministro Pistarini International Airport,EZE
Buffalo,Buffalo Niagara International Airport,BUF
